
[2026-02-25 07:52:11.332]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:11.332]	[main.py - <module>():91]		SOLUSDT — price=81.5400, 24h_high=82.9900, atr=0.213293
[2026-02-25 07:52:11.333]	[logic.py - should_long_dca():181]		[DCA] drop=1.75% level=0 (was 0) -> no new level
[2026-02-25 07:52:11.333]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:52:21.339]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:52:21.609]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:21.610]	[main.py - <module>():91]		BTCUSDT — price=64926.5200, 24h_high=66310.0000, atr=109.804090
[2026-02-25 07:52:21.610]	[logic.py - should_long_dca():181]		[DCA] drop=2.09% level=1 (was 0) -> NEW LEVEL spend=$2.09
[2026-02-25 07:52:21.611]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1691% vs required 0.3000%
[2026-02-25 07:52:21.611]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:52:21.923]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:21.924]	[main.py - <module>():91]		ETHUSDT — price=1886.4900, 24h_high=1944.8600, atr=4.061810
[2026-02-25 07:52:21.924]	[logic.py - should_long_dca():181]		[DCA] drop=3.00% level=1 (was 0) -> NEW LEVEL spend=$3.00
[2026-02-25 07:52:21.924]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2153% vs required 0.3000%
[2026-02-25 07:52:21.925]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:52:22.187]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:22.188]	[main.py - <module>():91]		SOLUSDT — price=81.5000, 24h_high=82.9900, atr=0.213293
[2026-02-25 07:52:22.188]	[logic.py - should_long_dca():181]		[DCA] drop=1.80% level=0 (was 0) -> no new level
[2026-02-25 07:52:22.189]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:52:32.195]	[main.py - <module>():70]		── Processing BTCUSDT ──
