
[2026-02-25 07:57:05.455]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:57:05.726]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:05.727]	[main.py - <module>():91]		BTCUSDT — price=64890.3700, 24h_high=66310.0000, atr=105.430022
[2026-02-25 07:57:05.728]	[logic.py - should_long_dca():181]		[DCA] drop=2.14% level=1 (was 0) -> NEW LEVEL spend=$2.14
[2026-02-25 07:57:05.728]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1625% vs required 0.3000%
[2026-02-25 07:57:05.729]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:57:05.979]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:05.980]	[main.py - <module>():91]		ETHUSDT — price=1885.2100, 24h_high=1944.8600, atr=3.925915
[2026-02-25 07:57:05.980]	[logic.py - should_long_dca():181]		[DCA] drop=3.07% level=1 (was 0) -> NEW LEVEL spend=$3.07
[2026-02-25 07:57:05.980]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2082% vs required 0.3000%
[2026-02-25 07:57:05.980]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:57:06.245]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:06.246]	[main.py - <module>():91]		SOLUSDT — price=81.4800, 24h_high=82.9900, atr=0.205812
[2026-02-25 07:57:06.246]	[logic.py - should_long_dca():181]		[DCA] drop=1.82% level=0 (was 0) -> no new level
[2026-02-25 07:57:06.246]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:57:16.257]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:57:16.529]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:16.530]	[main.py - <module>():91]		BTCUSDT — price=64883.8700, 24h_high=66310.0000, atr=105.430022
[2026-02-25 07:57:16.531]	[logic.py - should_long_dca():181]		[DCA] drop=2.15% level=1 (was 0) -> NEW LEVEL spend=$2.15
[2026-02-25 07:57:16.531]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1625% vs required 0.3000%
[2026-02-25 07:57:16.531]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:57:16.785]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:16.785]	[main.py - <module>():91]		ETHUSDT — price=1885.1200, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:57:16.785]	[logic.py - should_long_dca():181]		[DCA] drop=3.07% level=1 (was 0) -> NEW LEVEL spend=$3.07
[2026-02-25 07:57:16.785]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2086% vs required 0.3000%
[2026-02-25 07:57:16.785]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:57:17.037]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:17.037]	[main.py - <module>():91]		SOLUSDT — price=81.4400, 24h_high=82.9900, atr=0.205812
[2026-02-25 07:57:17.038]	[logic.py - should_long_dca():181]		[DCA] drop=1.87% level=0 (was 0) -> no new level
[2026-02-25 07:57:17.038]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:57:27.049]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:57:27.314]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:27.315]	[main.py - <module>():91]		BTCUSDT — price=64889.1200, 24h_high=66310.0000, atr=105.430022
[2026-02-25 07:57:27.316]	[logic.py - should_long_dca():181]		[DCA] drop=2.14% level=1 (was 0) -> NEW LEVEL spend=$2.14
[2026-02-25 07:57:27.316]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1625% vs required 0.3000%
[2026-02-25 07:57:27.316]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:57:27.583]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:27.585]	[main.py - <module>():91]		ETHUSDT — price=1885.2400, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:57:27.585]	[logic.py - should_long_dca():181]		[DCA] drop=3.07% level=1 (was 0) -> NEW LEVEL spend=$3.07
[2026-02-25 07:57:27.586]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2086% vs required 0.3000%
[2026-02-25 07:57:27.586]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:57:27.833]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:27.833]	[main.py - <module>():91]		SOLUSDT — price=81.4800, 24h_high=82.9900, atr=0.205812
[2026-02-25 07:57:27.833]	[logic.py - should_long_dca():181]		[DCA] drop=1.82% level=0 (was 0) -> no new level
[2026-02-25 07:57:27.834]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:57:37.845]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:57:38.110]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:38.111]	[main.py - <module>():91]		BTCUSDT — price=64901.3700, 24h_high=66310.0000, atr=105.430022
[2026-02-25 07:57:38.111]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:57:38.112]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1624% vs required 0.3000%
[2026-02-25 07:57:38.112]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:57:38.378]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:38.379]	[main.py - <module>():91]		ETHUSDT — price=1886.1200, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:57:38.379]	[logic.py - should_long_dca():181]		[DCA] drop=3.02% level=1 (was 0) -> NEW LEVEL spend=$3.02
[2026-02-25 07:57:38.380]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2085% vs required 0.3000%
[2026-02-25 07:57:38.380]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:57:38.630]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:38.630]	[main.py - <module>():91]		SOLUSDT — price=81.5000, 24h_high=82.9900, atr=0.205812
[2026-02-25 07:57:38.631]	[logic.py - should_long_dca():181]		[DCA] drop=1.80% level=0 (was 0) -> no new level
[2026-02-25 07:57:38.631]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:57:48.642]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:57:48.913]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:48.914]	[main.py - <module>():91]		BTCUSDT — price=64911.1700, 24h_high=66310.0000, atr=105.855736
[2026-02-25 07:57:48.914]	[logic.py - should_long_dca():181]		[DCA] drop=2.11% level=1 (was 0) -> NEW LEVEL spend=$2.11
[2026-02-25 07:57:48.915]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1631% vs required 0.3000%
[2026-02-25 07:57:48.915]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:57:49.168]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:49.168]	[main.py - <module>():91]		ETHUSDT — price=1886.0900, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:57:49.168]	[logic.py - should_long_dca():181]		[DCA] drop=3.02% level=1 (was 0) -> NEW LEVEL spend=$3.02
[2026-02-25 07:57:49.169]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2085% vs required 0.3000%
[2026-02-25 07:57:49.169]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:57:49.419]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:49.419]	[main.py - <module>():91]		SOLUSDT — price=81.5500, 24h_high=82.9900, atr=0.207955
[2026-02-25 07:57:49.420]	[logic.py - should_long_dca():181]		[DCA] drop=1.74% level=0 (was 0) -> no new level
[2026-02-25 07:57:49.420]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:57:59.430]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:57:59.704]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:59.704]	[main.py - <module>():91]		BTCUSDT — price=64908.0400, 24h_high=66310.0000, atr=105.855736
[2026-02-25 07:57:59.705]	[logic.py - should_long_dca():181]		[DCA] drop=2.11% level=1 (was 0) -> NEW LEVEL spend=$2.11
[2026-02-25 07:57:59.705]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1631% vs required 0.3000%
[2026-02-25 07:57:59.705]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:57:59.963]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:57:59.964]	[main.py - <module>():91]		ETHUSDT — price=1886.0500, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:57:59.964]	[logic.py - should_long_dca():181]		[DCA] drop=3.02% level=1 (was 0) -> NEW LEVEL spend=$3.02
[2026-02-25 07:57:59.964]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2085% vs required 0.3000%
[2026-02-25 07:57:59.964]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:58:00.222]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:00.222]	[main.py - <module>():91]		SOLUSDT — price=81.5700, 24h_high=82.9900, atr=0.209384
[2026-02-25 07:58:00.223]	[logic.py - should_long_dca():181]		[DCA] drop=1.71% level=0 (was 0) -> no new level
[2026-02-25 07:58:00.223]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:58:10.234]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:58:10.593]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:10.595]	[main.py - <module>():91]		BTCUSDT — price=64914.1900, 24h_high=66310.0000, atr=106.072165
[2026-02-25 07:58:10.595]	[logic.py - should_long_dca():181]		[DCA] drop=2.10% level=1 (was 0) -> NEW LEVEL spend=$2.10
[2026-02-25 07:58:10.595]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1634% vs required 0.3000%
[2026-02-25 07:58:10.596]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:58:10.846]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:10.847]	[main.py - <module>():91]		ETHUSDT — price=1886.2800, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:58:10.847]	[logic.py - should_long_dca():181]		[DCA] drop=3.01% level=1 (was 0) -> NEW LEVEL spend=$3.01
[2026-02-25 07:58:10.848]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2085% vs required 0.3000%
[2026-02-25 07:58:10.848]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:58:11.123]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:11.124]	[main.py - <module>():91]		SOLUSDT — price=81.5700, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:58:11.125]	[logic.py - should_long_dca():181]		[DCA] drop=1.71% level=0 (was 0) -> no new level
[2026-02-25 07:58:11.125]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:58:21.136]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:58:21.395]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:21.396]	[main.py - <module>():91]		BTCUSDT — price=64914.2000, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:58:21.396]	[logic.py - should_long_dca():181]		[DCA] drop=2.10% level=1 (was 0) -> NEW LEVEL spend=$2.10
[2026-02-25 07:58:21.396]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1636% vs required 0.3000%
[2026-02-25 07:58:21.396]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:58:21.652]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:21.652]	[main.py - <module>():91]		ETHUSDT — price=1885.6700, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:58:21.653]	[logic.py - should_long_dca():181]		[DCA] drop=3.04% level=1 (was 0) -> NEW LEVEL spend=$3.04
[2026-02-25 07:58:21.653]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2086% vs required 0.3000%
[2026-02-25 07:58:21.653]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:58:21.914]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:21.914]	[main.py - <module>():91]		SOLUSDT — price=81.5500, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:58:21.915]	[logic.py - should_long_dca():181]		[DCA] drop=1.74% level=0 (was 0) -> no new level
[2026-02-25 07:58:21.915]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:58:31.920]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:58:32.193]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:32.194]	[main.py - <module>():91]		BTCUSDT — price=64905.0000, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:58:32.195]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:58:32.195]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1636% vs required 0.3000%
[2026-02-25 07:58:32.195]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:58:32.460]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:32.461]	[main.py - <module>():91]		ETHUSDT — price=1885.4200, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:58:32.461]	[logic.py - should_long_dca():181]		[DCA] drop=3.06% level=1 (was 0) -> NEW LEVEL spend=$3.06
[2026-02-25 07:58:32.462]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2086% vs required 0.3000%
[2026-02-25 07:58:32.462]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:58:32.729]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:32.729]	[main.py - <module>():91]		SOLUSDT — price=81.5600, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:58:32.729]	[logic.py - should_long_dca():181]		[DCA] drop=1.72% level=0 (was 0) -> no new level
[2026-02-25 07:58:32.730]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:58:42.740]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:58:43.011]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:43.012]	[main.py - <module>():91]		BTCUSDT — price=64905.0100, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:58:43.013]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:58:43.013]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1636% vs required 0.3000%
[2026-02-25 07:58:43.013]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:58:43.265]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:43.265]	[main.py - <module>():91]		ETHUSDT — price=1885.4900, 24h_high=1944.8600, atr=3.933058
[2026-02-25 07:58:43.266]	[logic.py - should_long_dca():181]		[DCA] drop=3.05% level=1 (was 0) -> NEW LEVEL spend=$3.05
[2026-02-25 07:58:43.266]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2086% vs required 0.3000%
[2026-02-25 07:58:43.266]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:58:43.516]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:43.517]	[main.py - <module>():91]		SOLUSDT — price=81.5700, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:58:43.517]	[logic.py - should_long_dca():181]		[DCA] drop=1.71% level=0 (was 0) -> no new level
[2026-02-25 07:58:43.517]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:58:53.528]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:58:53.804]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:53.805]	[main.py - <module>():91]		BTCUSDT — price=64880.3500, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:58:53.806]	[logic.py - should_long_dca():181]		[DCA] drop=2.16% level=1 (was 0) -> NEW LEVEL spend=$2.16
[2026-02-25 07:58:53.806]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1637% vs required 0.3000%
[2026-02-25 07:58:53.806]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:58:54.074]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:54.074]	[main.py - <module>():91]		ETHUSDT — price=1884.8400, 24h_high=1944.8600, atr=3.953058
[2026-02-25 07:58:54.075]	[logic.py - should_long_dca():181]		[DCA] drop=3.09% level=1 (was 0) -> NEW LEVEL spend=$3.09
[2026-02-25 07:58:54.075]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2097% vs required 0.3000%
[2026-02-25 07:58:54.075]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:58:54.342]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:58:54.343]	[main.py - <module>():91]		SOLUSDT — price=81.5300, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:58:54.344]	[logic.py - should_long_dca():181]		[DCA] drop=1.76% level=0 (was 0) -> no new level
[2026-02-25 07:58:54.344]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:59:04.355]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:59:04.627]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:04.628]	[main.py - <module>():91]		BTCUSDT — price=64881.9400, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:59:04.628]	[logic.py - should_long_dca():181]		[DCA] drop=2.15% level=1 (was 0) -> NEW LEVEL spend=$2.15
[2026-02-25 07:59:04.629]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1637% vs required 0.3000%
[2026-02-25 07:59:04.629]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:59:04.891]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:04.892]	[main.py - <module>():91]		ETHUSDT — price=1884.8700, 24h_high=1944.8600, atr=3.953058
[2026-02-25 07:59:04.892]	[logic.py - should_long_dca():181]		[DCA] drop=3.08% level=1 (was 0) -> NEW LEVEL spend=$3.08
[2026-02-25 07:59:04.893]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2097% vs required 0.3000%
[2026-02-25 07:59:04.893]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:59:05.166]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:05.167]	[main.py - <module>():91]		SOLUSDT — price=81.5400, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:59:05.167]	[logic.py - should_long_dca():181]		[DCA] drop=1.75% level=0 (was 0) -> no new level
[2026-02-25 07:59:05.167]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:59:15.178]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:59:15.467]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:15.468]	[main.py - <module>():91]		BTCUSDT — price=64888.4600, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:59:15.469]	[logic.py - should_long_dca():181]		[DCA] drop=2.14% level=1 (was 0) -> NEW LEVEL spend=$2.14
[2026-02-25 07:59:15.469]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1636% vs required 0.3000%
[2026-02-25 07:59:15.469]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:59:15.733]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:15.734]	[main.py - <module>():91]		ETHUSDT — price=1885.2000, 24h_high=1944.8600, atr=3.953058
[2026-02-25 07:59:15.734]	[logic.py - should_long_dca():181]		[DCA] drop=3.07% level=1 (was 0) -> NEW LEVEL spend=$3.07
[2026-02-25 07:59:15.734]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2097% vs required 0.3000%
[2026-02-25 07:59:15.735]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:59:16.216]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:16.217]	[main.py - <module>():91]		SOLUSDT — price=81.5700, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:59:16.218]	[logic.py - should_long_dca():181]		[DCA] drop=1.71% level=0 (was 0) -> no new level
[2026-02-25 07:59:16.218]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:59:26.223]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:59:26.493]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:26.494]	[main.py - <module>():91]		BTCUSDT — price=64888.4700, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:59:26.494]	[logic.py - should_long_dca():181]		[DCA] drop=2.14% level=1 (was 0) -> NEW LEVEL spend=$2.14
[2026-02-25 07:59:26.495]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1636% vs required 0.3000%
[2026-02-25 07:59:26.495]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:59:26.759]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:26.760]	[main.py - <module>():91]		ETHUSDT — price=1884.9900, 24h_high=1944.8600, atr=3.953058
[2026-02-25 07:59:26.761]	[logic.py - should_long_dca():181]		[DCA] drop=3.08% level=1 (was 0) -> NEW LEVEL spend=$3.08
[2026-02-25 07:59:26.761]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2097% vs required 0.3000%
[2026-02-25 07:59:26.761]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:59:27.016]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:27.016]	[main.py - <module>():91]		SOLUSDT — price=81.5800, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:59:27.017]	[logic.py - should_long_dca():181]		[DCA] drop=1.70% level=0 (was 0) -> no new level
[2026-02-25 07:59:27.017]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:59:37.024]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:59:37.309]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:37.310]	[main.py - <module>():91]		BTCUSDT — price=64888.4700, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:59:37.311]	[logic.py - should_long_dca():181]		[DCA] drop=2.14% level=1 (was 0) -> NEW LEVEL spend=$2.14
[2026-02-25 07:59:37.311]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1636% vs required 0.3000%
[2026-02-25 07:59:37.311]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:59:37.583]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:37.584]	[main.py - <module>():91]		ETHUSDT — price=1884.9900, 24h_high=1944.8600, atr=3.953058
[2026-02-25 07:59:37.584]	[logic.py - should_long_dca():181]		[DCA] drop=3.08% level=1 (was 0) -> NEW LEVEL spend=$3.08
[2026-02-25 07:59:37.584]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2097% vs required 0.3000%
[2026-02-25 07:59:37.584]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:59:37.852]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:37.854]	[main.py - <module>():91]		SOLUSDT — price=81.5800, 24h_high=82.9900, atr=0.215098
[2026-02-25 07:59:37.854]	[logic.py - should_long_dca():181]		[DCA] drop=1.70% level=0 (was 0) -> no new level
[2026-02-25 07:59:37.855]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:59:47.866]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:59:48.135]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:59:48.136]	[main.py - <module>():91]		BTCUSDT — price=64895.0400, 24h_high=66310.0000, atr=106.181451
[2026-02-25 07:59:48.137]	[logic.py - should_long_dca():181]		[DCA] drop=2.13% level=1 (was 0) -> NEW LEVEL spend=$2.13
[2026-02-25 07:59:48.137]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1636% vs required 0.3000%
